Nitrogen,Phosphorus,Potassium,pH,Humidity,Temperature,Soil Type,Period of Month,Crop
46.26,49.42,22.14,6.24,55.64,26.32,Silty,Rabi,Rice
87.37,46.44,19.22,6.25,73.2,29.32,Clayey,Kharif,Rice
59.51,8.72,53.21,5.97,67.76,26.23,Loamy,Rabi,Rice
98.09,18.79,10.68,6.77,50.86,30.09,Silty,Kharif,Rice
36.95,37.78,70.51,6.2,83.11,31.31,Loamy,Rabi,Rice
71.31,8.39,40.39,6.29,82.34,17.07,Silty,Kharif,Rice
75.64,16.0,65.4,6.38,51.81,26.26,Loamy,Zaid,Rice
18.05,18.67,51.32,6.77,55.63,33.45,Silty,Rabi,Rice
96.54,23.39,56.72,5.93,59.4,23.03,Silty,Rabi,Rice
45.67,11.6,67.53,7.14,85.8,25.29,Clayey,Rabi,Rice
86.02,44.72,20.86,7.24,67.39,28.44,Silty,Kharif,Rice
55.98,12.78,45.17,6.79,60.37,24.81,Clayey,Kharif,Rice
91.18,11.41,65.65,6.54,78.82,31.87,Silty,Kharif,Rice
87.06,38.02,45.9,5.79,57.1,15.83,Loamy,Zaid,Rice
96.82,31.65,26.95,6.97,71.51,18.32,Loamy,Zaid,Rice
25.2,8.22,31.93,7.02,72.03,22.84,Clayey,Zaid,Rice
28.12,12.6,44.68,6.12,63.56,17.69,Silty,Kharif,Rice
69.5,48.62,75.86,6.22,74.66,22.55,Silty,Rabi,Rice
18.63,10.99,30.41,6.46,56.97,18.37,Clayey,Rabi,Rice
96.17,34.77,55.69,6.47,87.07,24.7,Loamy,Kharif,Rice
98.4,18.7,55.84,6.57,55.0,22.24,Clayey,Zaid,Rice
96.32,37.91,67.52,5.55,79.66,25.58,Loamy,Kharif,Rice
54.26,13.41,11.87,7.29,63.65,34.82,Silty,Kharif,Rice
10.09,23.53,71.02,6.27,51.57,23.64,Loamy,Zaid,Rice
35.22,25.1,36.72,6.24,78.77,26.56,Loamy,Rabi,Rice
64.31,11.41,78.92,7.41,72.25,24.68,Clayey,Zaid,Rice
36.43,39.73,14.84,7.07,73.78,31.67,Silty,Zaid,Rice
13.21,12.67,73.27,6.53,66.61,24.53,Loamy,Kharif,Rice
25.55,28.01,31.05,7.07,86.59,28.97,Clayey,Zaid,Rice
58.75,40.82,71.67,6.99,80.62,33.1,Clayey,Zaid,Rice
11.35,31.67,42.79,7.3,64.25,34.55,Silty,Rabi,Wheat
79.58,34.91,53.16,6.55,81.94,26.03,Loamy,Kharif,Wheat
25.45,27.33,43.55,6.54,85.39,30.96,Clayey,Kharif,Wheat
63.97,15.48,72.71,6.87,75.37,26.92,Clayey,Zaid,Wheat
87.51,6.82,48.21,6.19,76.4,24.69,Clayey,Zaid,Wheat
26.83,19.7,49.72,5.55,68.84,15.56,Loamy,Zaid,Wheat
24.12,22.77,27.18,5.96,55.29,32.38,Clayey,Rabi,Wheat
97.37,33.76,51.42,6.01,78.37,15.47,Loamy,Rabi,Wheat
27.56,50.0,55.17,5.88,82.99,20.83,Silty,Zaid,Wheat
19.12,43.92,73.46,6.84,56.78,17.06,Loamy,Kharif,Wheat
76.95,48.56,76.52,6.87,61.56,16.41,Loamy,Kharif,Wheat
42.8,32.0,76.95,7.18,85.58,34.13,Clayey,Kharif,Wheat
