,price_usd,price_inr,unit,state,timestamp
Rice,17.3,1435.9,$ / CWT,US TOTAL,2025-02-28 21:42:41
Wheat,6.96,577.68,$ / BU,US TOTAL,2025-02-28 21:42:45
Corn,4.55,377.65,$ / BU,US TOTAL,2025-02-28 21:42:49
Barley,7.39,613.37,$ / BU,US TOTAL,2025-02-28 21:42:53
Oats,3.92,325.36,$ / BU,US TOTAL,2025-02-28 21:42:57
Sorghum,8.81,731.23,$ / CWT,US TOTAL,2025-02-28 21:43:00
Millet,4.03,334.49,$ / BU,US TOTAL,2025-02-28 21:43:03
Soybeans,12.4,1029.2,$ / BU,US TOTAL,2025-02-28 21:43:08
Canola,24.3,2016.9,$ / CWT,US TOTAL,2025-02-28 21:43:14
Lentils,40.4,3353.2,$ / CWT,US TOTAL,2025-02-28 21:43:22
Chickpeas,36.6,3037.8,$ / CWT,US TOTAL,2025-02-28 21:43:25
Coffee,14.0,1162.0,$ / LB,US TOTAL,2025-02-28 21:43:34
Almonds,1.64,136.12,$ / LB,US TOTAL,2025-02-28 21:44:01
Walnuts,840.0,69720.0,$ / TON,US TOTAL,2025-02-28 21:44:06
Pistachios,2.0,166.0,$ / LB,US TOTAL,2025-02-28 21:44:08
Potatoes,12.3,1020.9000000000001,$ / CWT,US TOTAL,2025-02-28 21:44:13
Onions,24.5,2033.5,$ / CWT,US TOTAL,2025-02-28 21:44:15
Tomatoes,9.46,785.1800000000001,$ / CWT,US TOTAL,2025-02-28 21:44:18
Garlic,77.8,6457.4,$ / CWT,US TOTAL,2025-02-28 21:44:20
Cotton,0.8,66.4,$ / LB,US TOTAL,2025-02-28 21:44:25
Wool,1.56,129.48000000000002,$ / LB,US TOTAL,2025-02-28 21:44:28
Peanuts,0.269,22.327,$ / LB,US TOTAL,2025-02-28 21:44:34
